,company,drivertrain,exterior_color,interior_color,mile,photos,price,review_no,star,subname,title,transmission,vendor,video,year
0,Toyota,rwd,Gray,Black,67105,22,25998,7,5.0,4Runner,Toyota 4Runner Limited,5-speed,CarMax Greenville,1,2012
1,Ford,4wd,Race Red,Black,2330,32,53900,244,5.0,F-150,Ford F-150 Raptor,1-speed,Gilbert & Baugh Ford,1,2018
2,Dodge,4wd,White,Black,24661,32,23997,10,5.0,Challenger,Dodge Challenger R/T Plus,6-speed,Exclusive Auto Wholesale,1,2016
3,Dodge,4wd,White,Gray,155795,32,14495,11,5.0,Sprinter,Dodge Sprinter 2500,5-speed,West Ridge Auto Sales,1,2006
4,Porsche,rwd,White,Black,24176,31,42440,11,5.0,Boxster,Porsche Boxster S,6-speed,United Imports Inc,1,2014
5,Toyota,4wd,Gray,Gray,181902,27,14995,24,5.0,Tundra,Toyota Tundra Grade,6-speed,Burnout Garage,1,2011
6,Toyota,4wd,White,Black / Blue,24206,22,17348,6,5.0,Camry,Toyota Camry SE w/Special Edition Pkg,6-speed,Ultimate Motor Cars,1,2016
7,Nissan,4wd,Beige,Gray,176089,32,4500,46,5.0,Xterra,Nissan Xterra SE,4-speed,Auto Max,1,2004
8,Ford,4wd,Ingot Silver Metallic,Black,79583,32,34995,29,5.0,F-150,Ford F-150 SVT Raptor,6-speed,Orlando MINI,1,2013
9,Subaru,4wd,Gray,Gray,199532,29,3950,16,5.0,Outback,Subaru Outback,6-speed,Sharp Motors,1,2008
10,Hyundai,4wd,Desert Bronze,Beige,85677,20,7988,26,5.0,Elantra,Hyundai Elantra Limited,6-speed,Smart Cars By Wieland,1,2013
11,Mercedes-Benz,rwd,Black,Black,73383,32,27995,77,5.0,S,Mercedes-Benz S 550,7-speed,RDU Auto Sales,1,2013
12,Mercedes-Benz,4wd,Black,Espresso Brown/Black,48749,27,24449,8,5.0,E,Mercedes-Benz E 350,7-speed,Don Franklin Nissan,1,2014
13,smart,4wd,Deep Black,Beige,5002,32,5490,115,5.0,ForTwo,smart ForTwo Electric Drive 2dr Cpe,1-speed,Encore Motorcars of Sarasota,1,2013
14,Ford,4wd,Sterling Gray Metallic,Black,108573,21,9493,57,5.0,Fusion,Ford Fusion SE,6-speed,iDrive,1,2014
15,Toyota,rwd,Black,Sand Beige,71442,23,17990,9,5.0,4Runner,Toyota 4Runner SR5,5-speed,"Wholesale Auto Group, Inc.",1,2011
16,Audi,4wd,White,Black,19726,32,103995,220,5.0,R8,Audi R8 5.2,7-speed,Val Ward Cadillac,0,2014
17,Chevrolet,4wd,White,BLACK,151000,22,14995,6,5.0,Silverado,Chevrolet Silverado 2500 Work Truck,6-speed,MotorTime Auto Sales,1,2012
18,Nissan,rwd,Magnetic Black,Black,46505,32,18995,25,5.0,370Z,Nissan 370Z Base,6-speed,Widerange LLC,1,2014
19,Acura,4wd,Black,Tan,177323,32,7295,25,5.0,MDX,Acura MDX Technology,5-speed,Widerange LLC,1,2007
20,Honda,4wd,Silver,Gray,57543,32,7870,7,5.0,Civic,Honda Civic LX,5-speed,Auto Mart Of Ohio,1,2011
21,Rolls-Royce,rwd,Gray,Tan,23050,32,105000,23,5.0,Phantom,Rolls-Royce Phantom VI Base,6-speed,Jumbo Luxury Cars,1,2006
22,Mitsubishi,rwd,Diamond White Pearl,Black,3183,25,10544,14,5.0,i-MiEV,Mitsubishi i-MiEV ES,1-speed,Mitsubishi North,1,2017
23,BMW,4wd,Blue,Taupe,44841,32,16900,1567,5.0,135,BMW 135 i,6-speed,"TruWorth Auto - Carmel, IN",0,2011
24,BMW,4wd,Silver,Gray,112676,32,5895,8,5.0,325,BMW 325 i,6-speed,Pride Auto Sales,1,2006
25,Nissan,4wd,Brilliant Silver,Black,140410,32,5695,8,5.0,Rogue,Nissan Rogue S,cvt,Pride Auto Sales,1,2011
26,Lexus,4wd,Ultra White,Black,31260,32,29980,17,5.0,GS,Lexus GS 350 Crafted Line,6-speed,VINS DC,1,2015
27,Porsche,rwd,Basalt Black Metallic,Brown Leather,49943,32,29995,54,5.0,911,Porsche 911 Targa,6-speed,Chantilly Auto Sales,1,2004
28,Mercedes-Benz,rwd,Black,Black,10571,21,28998,8,5.0,SLK250,Mercedes-Benz SLK250,7-speed,CarMax Dulles,1,2014
29,Porsche,4wd,Black,Black,14441,32,99995,31,5.0,Cayenne,Porsche Cayenne Turbo,8-speed,Porsche Tysons Corner,1,2017
30,Porsche,4wd,Black,Black,33941,32,75777,37,5.0,911,Porsche 911 Carrera,7-speed,Intersport Performance Auto Sales,1,2013
31,Lexus,4wd,Black,Black,101791,32,34995,31,5.0,LX,Lexus LX 570 Base,6-speed,Virginia Auto Trader Co.,1,2013
