법정동코드,법정동명
11110101,서울특별시 종로구 청운동
11110102,서울특별시 종로구 신교동
11110103,서울특별시 종로구 궁정동
11110104,서울특별시 종로구 효자동
11110105,서울특별시 종로구 창성동
11110106,서울특별시 종로구 통의동
11110107,서울특별시 종로구 적선동
11110108,서울특별시 종로구 통인동
11110109,서울특별시 종로구 누상동
11110110,서울특별시 종로구 누하동
11110111,서울특별시 종로구 옥인동
11110112,서울특별시 종로구 체부동
11110113,서울특별시 종로구 필운동
11110114,서울특별시 종로구 내자동
11110115,서울특별시 종로구 사직동
11110116,서울특별시 종로구 도렴동
11110117,서울특별시 종로구 당주동
11110118,서울특별시 종로구 내수동
11110119,서울특별시 종로구 세종로
11110120,서울특별시 종로구 신문로1가
11110121,서울특별시 종로구 신문로2가
11110122,서울특별시 종로구 청진동
11110123,서울특별시 종로구 서린동
11110124,서울특별시 종로구 수송동
11110125,서울특별시 종로구 중학동
11110126,서울특별시 종로구 종로1가
11110127,서울특별시 종로구 공평동
11110128,서울특별시 종로구 관훈동
11110129,서울특별시 종로구 견지동
11110130,서울특별시 종로구 와룡동
11110131,서울특별시 종로구 권농동
11110132,서울특별시 종로구 운니동
11110133,서울특별시 종로구 익선동
11110134,서울특별시 종로구 경운동
11110135,서울특별시 종로구 관철동
11110136,서울특별시 종로구 인사동
11110137,서울특별시 종로구 낙원동
11110138,서울특별시 종로구 종로2가
11110139,서울특별시 종로구 팔판동
11110140,서울특별시 종로구 삼청동
11110141,서울특별시 종로구 안국동
11110142,서울특별시 종로구 소격동
11110143,서울특별시 종로구 화동
11110144,서울특별시 종로구 사간동
11110145,서울특별시 종로구 송현동
11110146,서울특별시 종로구 가회동
11110147,서울특별시 종로구 재동
11110148,서울특별시 종로구 계동
11110149,서울특별시 종로구 원서동
11110150,서울특별시 종로구 훈정동
11110151,서울특별시 종로구 묘동
11110152,서울특별시 종로구 봉익동
11110153,서울특별시 종로구 돈의동
11110154,서울특별시 종로구 장사동
11110155,서울특별시 종로구 관수동
11110156,서울특별시 종로구 종로3가
11110157,서울특별시 종로구 인의동
11110158,서울특별시 종로구 예지동
11110159,서울특별시 종로구 원남동
11110160,서울특별시 종로구 연지동
11110161,서울특별시 종로구 종로4가
11110162,서울특별시 종로구 효제동
11110163,서울특별시 종로구 종로5가
11110164,서울특별시 종로구 종로6가
11110165,서울특별시 종로구 이화동
11110166,서울특별시 종로구 연건동
11110167,서울특별시 종로구 충신동
11110168,서울특별시 종로구 동숭동
11110169,서울특별시 종로구 혜화동
11110170,서울특별시 종로구 명륜1가
11110171,서울특별시 종로구 명륜2가
11110172,서울특별시 종로구 명륜4가
11110173,서울특별시 종로구 명륜3가
11110174,서울특별시 종로구 창신동
11110175,서울특별시 종로구 숭인동
11110176,서울특별시 종로구 교남동
11110177,서울특별시 종로구 평동
11110178,서울특별시 종로구 송월동
11110179,서울특별시 종로구 홍파동
11110180,서울특별시 종로구 교북동
11110181,서울특별시 종로구 행촌동
11110182,서울특별시 종로구 구기동
11110183,서울특별시 종로구 평창동
11110184,서울특별시 종로구 부암동
11110185,서울특별시 종로구 홍지동
11110186,서울특별시 종로구 신영동
11110187,서울특별시 종로구 무악동
11140101,서울특별시 중구 무교동
11140102,서울특별시 중구 다동
11140103,서울특별시 중구 태평로1가
11140104,서울특별시 중구 을지로1가
11140105,서울특별시 중구 을지로2가
11140106,서울특별시 중구 남대문로1가
11140107,서울특별시 중구 삼각동
11140108,서울특별시 중구 수하동
11140109,서울특별시 중구 장교동
11140110,서울특별시 중구 수표동
11140111,서울특별시 중구 소공동
11140112,서울특별시 중구 남창동
11140113,서울특별시 중구 북창동
11140114,서울특별시 중구 태평로2가
11140115,서울특별시 중구 남대문로2가
11140116,서울특별시 중구 남대문로3가
11140117,서울특별시 중구 남대문로4가
11140118,서울특별시 중구 남대문로5가
11140119,서울특별시 중구 봉래동1가
11140120,서울특별시 중구 봉래동2가
11140121,서울특별시 중구 회현동1가
11140122,서울특별시 중구 회현동2가
11140123,서울특별시 중구 회현동3가
11140124,서울특별시 중구 충무로1가
11140125,서울특별시 중구 충무로2가
11140126,서울특별시 중구 명동1가
11140127,서울특별시 중구 명동2가
11140128,서울특별시 중구 남산동1가
11140129,서울특별시 중구 남산동2가
11140130,서울특별시 중구 남산동3가
11140131,서울특별시 중구 저동1가
11140132,서울특별시 중구 충무로4가
11140133,서울특별시 중구 충무로5가
11140134,서울특별시 중구 인현동2가
11140135,서울특별시 중구 예관동
11140136,서울특별시 중구 묵정동
11140137,서울특별시 중구 필동1가
11140138,서울특별시 중구 필동2가
11140139,서울특별시 중구 필동3가
11140140,서울특별시 중구 남학동
11140141,서울특별시 중구 주자동
11140142,서울특별시 중구 예장동
11140143,서울특별시 중구 장충동1가
11140144,서울특별시 중구 장충동2가
11140145,서울특별시 중구 광희동1가
11140146,서울특별시 중구 광희동2가
11140147,서울특별시 중구 쌍림동
11140148,서울특별시 중구 을지로6가
11140149,서울특별시 중구 을지로7가
11140150,서울특별시 중구 을지로4가
11140151,서울특별시 중구 을지로5가
11140152,서울특별시 중구 주교동
11140153,서울특별시 중구 방산동
11140154,서울특별시 중구 오장동
11140155,서울특별시 중구 을지로3가
11140156,서울특별시 중구 입정동
11140157,서울특별시 중구 산림동
11140158,서울특별시 중구 충무로3가
11140159,서울특별시 중구 초동
11140160,서울특별시 중구 인현동1가
11140161,서울특별시 중구 저동2가
11140162,서울특별시 중구 신당동
11140163,서울특별시 중구 흥인동
11140164,서울특별시 중구 무학동
